iter	Logloss
0	0.6385438995
1	0.594718867
2	0.5621316274
3	0.5373565216
4	0.5162177684
5	0.4989965795
6	0.4858546448
7	0.4745220439
8	0.4650160675
9	0.4579144923
10	0.45216067
11	0.4469294459
12	0.443175855
13	0.4398652547
14	0.4373560181
15	0.4348953018
16	0.4325420583
17	0.4312296702
18	0.4290126902
19	0.4271344986
20	0.4252132874
21	0.4235221354
22	0.4220166346
23	0.4209765091
24	0.419645429
25	0.4182466965
26	0.4174982198
27	0.4166840719
28	0.4155835444
29	0.415039032
30	0.4142005412
31	0.4134636205
32	0.4126495082
33	0.4121926448
34	0.4116009979
35	0.4112096405
36	0.4106186066
37	0.4100100174
38	0.4090845413
39	0.4086195399
40	0.4080067876
41	0.4073843765
42	0.4068591919
43	0.4062133001
44	0.4055953954
45	0.4050285365
46	0.4047052358
47	0.4044191767
48	0.4038348872
49	0.4036097997
50	0.4031990077
51	0.4028559799
52	0.401886795
53	0.4018249512
54	0.4014348119
55	0.4011688131
56	0.4005409622
57	0.3999210943
58	0.399270752
59	0.3986968587
60	0.3985506337
61	0.3981752523
62	0.3973529714
63	0.3970986048
64	0.3969263407
65	0.3965755183
66	0.3957706426
67	0.3951787949
68	0.3944847641
69	0.3938950958
70	0.39330852
71	0.3928322856
72	0.3923722356
73	0.3921233088
74	0.3918243332
75	0.3916184387
76	0.3912880224
77	0.3909441757
78	0.3905282542
79	0.3900547562
80	0.3893802592
81	0.3888733571
82	0.3887499542
83	0.3884500732
84	0.3878359985
85	0.387527003
86	0.3868995463
87	0.3860405553
88	0.3855860469
89	0.3851415456
90	0.3846776861
91	0.3843668747
92	0.3839407298
93	0.3834891459
94	0.3832084147
95	0.3827651647
96	0.3821889292
97	0.3817628276
98	0.3816378657
99	0.381450325
100	0.3810666326
101	0.3807086716
102	0.3802543488
103	0.3798431117
104	0.379699468
105	0.3794534505
106	0.3789762955
107	0.3785985667
108	0.3780569433
109	0.377434049
110	0.3769927241
111	0.3764448471
112	0.3760223897
113	0.3754926402
114	0.3749605611
115	0.3744524867
116	0.3740233078
117	0.3736514257
118	0.3733092244
119	0.3729569575
120	0.3726357727
121	0.372200175
122	0.3717352982
123	0.3708858363
124	0.3701576538
125	0.3695857697
126	0.3692440287
127	0.3688155314
128	0.3682902222
129	0.3677811381
130	0.3672851664
131	0.3666472982
132	0.366180659
133	0.3655369339
134	0.3650217361
135	0.3642965825
136	0.3637147268
137	0.3632344386
138	0.3628413569
139	0.3625512517
140	0.3621126099
141	0.3615846049
142	0.361029391
143	0.3606172384
144	0.3604163691
145	0.3597356466
146	0.359270373
147	0.3591437836
148	0.3585150452
149	0.3579769058
150	0.3576220678
151	0.3572534358
152	0.3569462636
153	0.3566058731
154	0.3561817424
155	0.3558457336
156	0.3549329147
157	0.3546400884
158	0.3542878799
159	0.3538940989
160	0.3535050659
161	0.3534014943
162	0.3530282771
163	0.3526288503
164	0.352480779
165	0.352009847
166	0.3515153783
167	0.3510186971
168	0.3507641195
169	0.3502650299
170	0.3498703842
171	0.3494120153
172	0.3487674866
173	0.3484497401
174	0.3480816981
175	0.3478084234
176	0.3473076045
177	0.3469403152
178	0.3463441925
179	0.3459385325
