iter	Passed	Remaining
0	21	21330
1	40	20137
2	57	19245
3	78	19493
4	102	20496
5	124	20682
6	145	20638
7	167	20733
8	187	20640
9	208	20655
10	229	20624
11	250	20647
12	273	20755
13	294	20759
14	310	20387
15	326	20074
16	342	19784
17	359	19603
18	380	19643
19	401	19651
20	422	19682
21	442	19651
22	468	19915
23	491	19970
24	510	19892
25	529	19850
26	550	19841
27	567	19689
28	585	19604
29	602	19464
30	620	19381
31	636	19259
32	656	19232
33	673	19148
34	691	19055
35	708	18958
36	725	18881
37	743	18810
38	760	18728
39	778	18675
40	797	18652
41	815	18597
42	833	18541
43	853	18537
44	870	18475
45	891	18481
46	911	18473
47	927	18390
48	944	18329
49	960	18243
50	975	18159
51	991	18077
52	1009	18029
53	1015	17797
54	1031	17728
55	1047	17662
56	1063	17592
57	1080	17546
58	1096	17495
59	1113	17437
60	1128	17366
61	1146	17339
62	1164	17323
63	1182	17293
64	1198	17232
65	1214	17185
66	1231	17149
67	1248	17106
68	1264	17062
69	1281	17025
70	1299	17002
71	1316	16973
72	1336	16969
73	1355	16968
74	1377	16983
75	1397	16996
76	1419	17019
77	1440	17025
78	1459	17017
79	1482	17050
80	1502	17049
81	1523	17054
82	1543	17053
83	1563	17053
84	1585	17067
85	1605	17061
86	1625	17058
87	1645	17054
88	1665	17049
89	1683	17018
90	1701	16993
91	1716	16938
92	1731	16887
93	1747	16840
94	1762	16788
95	1778	16744
96	1794	16705
97	1810	16665
98	1825	16614
99	1841	16569
100	1857	16533
101	1873	16491
102	1888	16448
103	1906	16427
104	1921	16379
105	1937	16340
106	1954	16310
107	1970	16275
108	1989	16261
109	2008	16250
110	2024	16215
111	2041	16188
112	2058	16160
113	2076	16139
114	2094	16117
115	2112	16099
116	2128	16063
117	2146	16044
118	2163	16015
119	2181	16000
120	2200	15983
121	2220	15976
122	2243	15999
123	2278	16093
124	2300	16105
125	2322	16108
126	2343	16106
127	2369	16139
128	2388	16130
129	2411	16141
130	2432	16135
131	2454	16138
132	2474	16127
133	2494	16117
134	2515	16120
135	2537	16122
136	2558	16118
137	2579	16110
138	2599	16102
139	2619	16090
140	2640	16084
141	2662	16085
142	2680	16066
143	2699	16047
144	2719	16035
145	2736	16008
146	2752	15970
147	2767	15932
148	2785	15910
149	2801	15877
150	2832	15927
151	2858	15945
152	2879	15938
153	2898	15923
154	2920	15918
155	2942	15920
156	2962	15907
157	2984	15905
158	3013	15939
159	3034	15931
160	3054	15915
161	3073	15899
162	3093	15882
163	3114	15878
164	3134	15861
165	3154	15850
166	3178	15854
167	3197	15837
168	3215	15809
169	3234	15790
170	3252	15769
171	3271	15746
172	3289	15725
173	3306	15694
174	3323	15668
175	3341	15646
176	3362	15633
177	3380	15610
178	3400	15596
179	3418	15574
180	3437	15552
181	3453	15523
182	3470	15494
183	3487	15468
184	3507	15449
185	3526	15435
186	3548	15426
187	3570	15419
188	3592	15414
189	3618	15425
190	3640	15418
191	3652	15372
192	3672	15358
193	3693	15343
194	3713	15331
195	3732	15310
196	3753	15298
197	3771	15276
198	3789	15251
199	3805	15220
200	3823	15197
201	3841	15177
202	3862	15164
203	3882	15147
204	3900	15125
205	3930	15149
206	3947	15123
207	3965	15100
208	3989	15098
209	4008	15077
210	4024	15050
211	4043	15030
212	4059	14997
213	4076	14971
214	4091	14939
215	4107	14907
216	4123	14879
217	4139	14849
218	4155	14819
219	4170	14787
220	4186	14757
221	4202	14727
222	4218	14697
223	4235	14672
224	4251	14643
225	4266	14613
226	4282	14584
227	4298	14555
228	4317	14535
229	4332	14504
230	4348	14475
231	4363	14445
232	4380	14419
233	4395	14389
234	4411	14362
235	4428	14335
236	4443	14304
237	4459	14276
238	4476	14252
239	4491	14224
240	4505	14190
241	4521	14162
242	4537	14134
243	4552	14105
244	4567	14073
245	4582	14045
246	4599	14022
247	4615	13995
248	4631	13969
249	4659	13977
250	4675	13951
251	4691	13925
252	4706	13897
253	4722	13868
254	4737	13842
255	4752	13812
256	4768	13785
257	4785	13763
258	4801	13737
259	4817	13710
260	4834	13689
261	4850	13662
262	4865	13634
263	4882	13611
264	4897	13584
265	4913	13558
266	4931	13537
267	4948	13515
268	4964	13491
269	4982	13471
270	5002	13456
271	5022	13443
272	5043	13431
273	5066	13425
274	5092	13424
275	5114	13417
276	5137	13409
277	5159	13399
278	5181	13389
279	5199	13370
280	5220	13356
281	5240	13342
282	5261	13331
283	5281	13315
284	5303	13304
285	5324	13293
286	5346	13282
287	5365	13264
288	5386	13253
289	5406	13237
290	5429	13227
291	5448	13211
292	5468	13194
293	5486	13175
294	5505	13157
295	5521	13132
296	5537	13107
297	5553	13082
298	5569	13058
299	5586	13035
300	5603	13013
301	5620	12991
302	5637	12967
303	5653	12943
304	5669	12920
305	5686	12896
306	5703	12873
307	5719	12850
308	5737	12830
309	5754	12808
310	5771	12785
311	5787	12761
312	5801	12733
313	5815	12705
314	5831	12680
315	5846	12655
316	5862	12630
317	5878	12607
318	5894	12583
319	5911	12562
320	5927	12539
321	5943	12514
322	5960	12492
323	5975	12468
324	5991	12444
325	6008	12422
326	6023	12397
327	6039	12373
328	6054	12347
329	6070	12325
330	6085	12300
331	6100	12275
332	6118	12254
333	6133	12230
334	6149	12206
335	6166	12186
336	6182	12163
337	6196	12137
338	6231	12150
339	6247	12127
340	6263	12104
341	6279	12081
342	6295	12058
343	6312	12037
344	6327	12013
345	6343	11990
346	6358	11965
347	6375	11945
348	6393	11925
349	6409	11903
350	6424	11879
351	6441	11857
352	6456	11834
353	6474	11815
354	6494	11800
355	6520	11795
356	6543	11786
357	6566	11775
358	6589	11765
359	6612	11756
360	6632	11740
361	6656	11732
362	6679	11721
363	6703	11713
364	6725	11701
365	6749	11691
366	6772	11681
367	6796	11672
368	6817	11658
369	6841	11649
370	6863	11637
371	6888	11628
372	6912	11618
373	6934	11606
374	6959	11599
375	6979	11583
376	7002	11571
377	7026	11562
378	7051	11554
379	7076	11546
380	7100	11536
381	7121	11521
382	7145	11510
383	7166	11496
384	7189	11484
385	7215	11476
386	7237	11464
387	7263	11457
388	7285	11443
389	7309	11432
390	7332	11420
391	7355	11409
392	7379	11397
393	7401	11384
394	7425	11373
395	7450	11363
396	7475	11353
397	7499	11342
398	7520	11328
399	7544	11317
400	7566	11303
401	7595	11298
402	7619	11288
403	7642	11275
404	7668	11265
405	7691	11253
406	7716	11242
407	7740	11230
408	7762	11216
409	7787	11206
410	7809	11192
411	7833	11179
412	7856	11166
413	7880	11154
414	7903	11140
415	7925	11126
416	7947	11111
417	7971	11099
418	7992	11082
419	8012	11064
420	8035	11051
421	8055	11033
422	8075	11015
423	8092	10994
424	8110	10973
425	8130	10955
426	8159	10948
427	8182	10934
428	8204	10919
429	8224	10901
430	8241	10880
431	8258	10858
432	8274	10835
433	8292	10814
434	8307	10790
435	8326	10771
436	8342	10748
437	8358	10725
438	8376	10704
439	8392	10680
440	8407	10657
441	8424	10635
442	8440	10612
443	8455	10588
444	8473	10567
445	8488	10544
446	8505	10522
447	8520	10498
448	8536	10475
449	8551	10451
450	8568	10430
451	8584	10407
452	8600	10384
453	8616	10362
454	8633	10341
455	8648	10317
456	8665	10296
457	8681	10273
458	8697	10250
459	8712	10227
460	8728	10205
461	8744	10182
462	8760	10161
463	8776	10138
464	8792	10115
465	8808	10093
466	8824	10071
467	8840	10049
468	8857	10027
469	8873	10005
470	8888	9983
471	8936	9996
472	8952	9975
473	8968	9952
474	8985	9930
475	9000	9908
476	9016	9885
477	9033	9864
478	9049	9843
479	9065	9820
480	9081	9798
481	9096	9776
482	9112	9754
483	9128	9732
484	9143	9709
485	9159	9687
486	9175	9665
487	9191	9643
488	9207	9621
489	9223	9600
490	9240	9579
491	9257	9558
492	9274	9537
493	9289	9514
494	9305	9493
495	9321	9472
496	9338	9450
497	9354	9429
498	9372	9409
499	9388	9388
