iter	Logloss
0	0.6428198242
1	0.6085099411
2	0.5834507751
3	0.5657468033
4	0.5453073502
5	0.5278917694
6	0.5120303345
7	0.5005867004
8	0.4890319824
9	0.4790938568
10	0.4705419159
11	0.463995285
12	0.4538121414
13	0.4462168121
14	0.4419153214
15	0.4376602936
16	0.4338220978
17	0.4294727325
18	0.4260489273
19	0.4231838226
20	0.4199874878
21	0.4168237305
22	0.413628006
23	0.4124708557
24	0.4108891296
25	0.4095374298
26	0.4035910034
27	0.4020515442
28	0.3991861725
29	0.3970795822
30	0.3956498337
31	0.3954725647
32	0.3938414383
33	0.3909806061
34	0.3880094528
35	0.3848053741
36	0.3844539642
37	0.382817955
38	0.3817191315
39	0.3807385254
40	0.3798374176
41	0.3779656219
42	0.3770752716
43	0.3762275314
44	0.3752269745
45	0.3749647141
46	0.3746622849
47	0.3745027161
48	0.3718370819
49	0.3695119476
50	0.3693952179
51	0.3674950027
52	0.3650147247
53	0.364053421
54	0.3613294983
55	0.360506897
56	0.3589869308
57	0.3567949677
58	0.3529659271
59	0.3520742798
60	0.3503235626
61	0.3496240997
62	0.3446347046
63	0.3432847977
64	0.3407326508
65	0.3389759064
66	0.3365444946
67	0.3361881256
68	0.3353582764
69	0.3345026398
70	0.3313483047
71	0.3280414581
72	0.3235671234
73	0.3224807358
74	0.3187427711
75	0.3169434357
76	0.3147660446
77	0.3134302139
78	0.3105158043
79	0.3087417984
80	0.3057102966
81	0.3030984879
82	0.3011981201
83	0.3002340698
84	0.2988356018
85	0.2961221313
86	0.2953801346
87	0.2933623123
88	0.2911822891
89	0.2878537178
90	0.2850374985
91	0.2842078018
92	0.2822807693
93	0.2806879044
94	0.2790196228
95	0.2775406647
96	0.2764689255
97	0.2728071404
98	0.2706101608
99	0.2686676216
