iter	Passed	Remaining
0	1	139
1	2	135
2	4	130
3	5	127
4	6	125
5	7	121
6	8	119
7	10	117
8	11	117
9	12	116
10	14	115
11	15	114
12	17	114
13	18	114
14	20	113
15	21	112
16	22	112
17	24	111
18	25	110
19	27	109
20	28	108
21	30	107
22	32	107
23	33	106
24	35	105
25	36	104
26	38	104
27	40	104
28	42	103
29	43	101
30	45	100
31	46	98
32	48	97
33	49	96
34	51	96
35	53	94
36	54	92
37	56	91
38	57	89
39	58	88
40	60	87
41	62	85
42	63	84
43	65	82
44	66	81
45	67	79
46	68	77
47	70	75
48	71	74
49	72	72
50	74	71
51	76	70
52	77	68
53	79	67
54	80	66
55	82	64
56	83	63
57	85	61
58	86	60
59	88	58
60	89	57
61	91	56
62	93	54
63	94	53
64	96	51
65	98	50
66	99	49
67	101	47
68	102	46
69	104	44
70	105	43
71	107	41
72	108	40
73	110	38
74	111	37
75	113	35
76	114	34
77	116	32
78	117	31
79	119	29
80	120	28
81	122	26
82	124	25
83	125	23
84	126	22
85	128	20
86	130	19
87	131	17
88	133	16
89	135	15
90	136	13
91	139	12
92	140	10
93	142	9
94	144	7
95	145	6
96	147	4
97	149	3
98	150	1
99	152	0
